City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Rikitea,PF,78.87,light rain,-23.1203,-134.9692,Pension Maro'i
4,Kontagora,NG,80.55,clear sky,10.3999,5.4695,City Gate Inn
9,Souillac,MU,78.8,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
10,Sinnamary,GF,78.82,moderate rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
11,Eyl,SO,72.81,few clouds,7.9803,49.8164,Amiin Hotel
15,Auki,SB,79.77,moderate rain,-8.7676,160.7034,Auki Motel
19,Pozo+Colorado,PY,89.17,overcast clouds,-23.4923,-58.7972,Hospedaje la Amistad
20,Vaini,TO,78.8,broken clouds,-21.2,-175.2,Keleti Beach Resort
23,Am+Timan,TD,78.33,clear sky,11.0297,20.2827,Palais du chef Canton Salamt
25,Hilo,US,75.2,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
28,Mersing,MY,78.8,overcast clouds,2.4312,103.8405,Timotel Hotel
29,Labuhan,ID,77.11,light rain,-6.8844,112.2051,PT PPI Lamongan Tambak C
33,Avarua,CK,84.2,light rain,-21.2078,-159.775,Paradise Inn
37,Port+Keats,AU,79.83,light rain,-14.25,129.55,TDC Village (Hundred Man Camp)
40,Lorengau,PG,81.99,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
44,Cidreira,BR,80.02,overcast clouds,-30.1811,-50.2056,Hotel Castelo
46,Geraldton,AU,84.2,clear sky,-28.7667,114.6,Broadwater Mariner Resort
51,Alofi,NU,78.8,light rain,-19.0595,-169.9187,Taloa Heights
52,Saint-Philippe,RE,78.8,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
53,Butaritari,KI,80.94,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
57,Port+Blair,IN,78.96,broken clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
64,Kafanchan,NG,73.81,clear sky,9.5833,8.3,Metro Guest Inn
70,Puerto+Ayora,EC,86.0,clear sky,-0.7393,-90.3518,Castillo Galapagos
71,Illapel,CL,80.55,clear sky,-31.6308,-71.1653,Hotel Londres
