City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Butaritari,KI,80.65,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
1,Sembabule,UG,78.08,overcast clouds,-0.0772,31.4567,Rainbow Motel ( Sembabule )
5,Caravelas,BR,84.99,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
7,Araguari,BR,83.28,overcast clouds,-18.6472,-48.1872,Big Executive Hotel - Araguari MG
8,Atuona,PF,78.28,light rain,-9.8,-139.0333,Villa Enata
11,Kapaa,US,71.6,light rain,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
12,Bilma,NE,80.24,scattered clouds,18.6853,12.9164,Expeditions Ténére voyages
13,Vaini,TO,73.4,moderate rain,-21.2,-175.2,Keleti Beach Resort
16,Rikitea,PF,78.75,light rain,-23.1203,-134.9692,Pension Maro'i
18,Hermanus,ZA,75.99,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
20,Carnarvon,AU,86.0,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
21,Arraial+Do+Cabo,BR,89.6,clear sky,-22.9661,-42.0278,Pousada Porto Praia
24,Cape+Town,ZA,79.0,few clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
27,Mayumba,GA,80.35,light rain,-3.432,10.6554,LIKWALE LODGE
29,Avarua,CK,77.0,broken clouds,-21.2078,-159.775,Paradise Inn
31,Salto+Del+Guaira,PY,72.18,overcast clouds,-24.0625,-54.3069,7 Saltos Resort
34,Faanui,PF,80.13,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
36,Najran,SA,80.6,clear sky,17.4924,44.1277,محمد هادي ال فطيح
40,Byumba,RW,75.2,light rain,-1.5763,30.0675,RGC206 [AIRTEL]
41,Moree,AU,78.8,clear sky,-29.4667,149.85,Molika Springs Motel
42,Kupang,ID,79.86,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
43,East+London,ZA,75.2,broken clouds,-33.0153,27.9116,Tu Casa
44,Saint-Philippe,RE,82.99,overcast clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
48,Isiro,CD,91.0,scattered clouds,2.7739,27.616,Guest House Hewa Bora
56,Port+Macquarie,AU,72.0,scattered clouds,-31.4333,152.9167,Rydges Port Macquarie
58,Port+Blair,IN,80.06,clear sky,11.6667,92.75,Welcomhotel Bay Island Port Blair
59,Bredasdorp,ZA,75.99,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
68,Belmonte,BR,84.2,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
