City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Rikitea,PF,-23.1203,-134.9692,78.87,76,3,12.93,light rain
1,Ponta+Do+Sol,PT,32.6667,-17.1,61.0,75,69,1.79,broken clouds
2,Cooma,AU,-36.2333,149.1333,55.4,100,90,1.99,overcast clouds
3,Kodinsk,RU,58.6881,99.1844,-40.72,78,38,2.95,scattered clouds
4,Kontagora,NG,10.3999,5.4695,80.55,16,0,4.32,clear sky
5,Ushuaia,AR,-54.8,-68.3,53.6,58,20,26.46,few clouds
6,Punta+Arenas,CL,-53.15,-70.9167,59.0,47,0,31.07,clear sky
7,Stephenville+Crossing,CA,48.5,-58.4318,26.6,86,90,10.36,overcast clouds
8,Mataura,NZ,-46.1927,168.8643,48.0,80,56,8.01,broken clouds
9,Souillac,MU,-20.5167,57.5167,78.8,89,75,8.05,light rain
10,Sinnamary,GF,5.3833,-52.95,78.82,87,100,13.24,moderate rain
11,Eyl,SO,7.9803,49.8164,72.81,77,17,13.15,few clouds
12,Jais,IN,26.25,81.5333,49.64,50,0,5.48,clear sky
13,Laon,FR,49.5667,3.6667,46.4,93,90,2.3,overcast clouds
14,Codrington,AU,-38.2667,141.9667,58.05,72,90,5.28,overcast clouds
15,Auki,SB,-8.7676,160.7034,79.77,85,100,11.32,moderate rain
16,Nikolskoye,RU,59.7035,30.7861,28.4,93,75,4.47,snow
17,Dembi+Dolo,ET,8.5333,34.8,65.8,54,36,3.13,scattered clouds
18,Tuktoyaktuk,CA,69.4541,-133.0374,-36.4,74,40,1.54,scattered clouds
19,Pozo+Colorado,PY,-23.4923,-58.7972,89.17,57,100,3.53,overcast clouds
20,Vaini,TO,-21.2,-175.2,78.8,94,75,6.91,broken clouds
21,Busselton,AU,-33.65,115.3333,63.0,75,0,4.0,clear sky
22,Avera,US,33.194,-82.5271,51.8,40,1,8.05,clear sky
23,Am+Timan,TD,11.0297,20.2827,78.33,18,0,5.23,clear sky
24,Clevelandia,BR,-26.3958,-52.4708,72.32,86,92,9.01,overcast clouds
25,Hilo,US,19.7297,-155.09,75.2,73,20,4.61,light rain
26,Mar+Del+Plata,AR,-38.0023,-57.5575,62.6,59,90,18.41,overcast clouds
27,Hami,CN,42.8,93.45,21.22,83,0,1.36,clear sky
28,Mersing,MY,2.4312,103.8405,78.8,78,94,12.66,overcast clouds
29,Labuhan,ID,-6.8844,112.2051,77.11,87,100,8.21,light rain
30,Tasiilaq,GL,65.6145,-37.6368,19.4,38,75,18.41,broken clouds
31,Kruisfontein,ZA,-34.0033,24.7314,66.0,78,1,1.01,clear sky
32,Jinchang,CN,38.4953,102.1739,23.05,64,0,4.09,clear sky
33,Avarua,CK,-21.2078,-159.775,84.2,70,100,3.44,light rain
34,Camopi,GF,3.1655,-52.3158,78.42,93,95,4.85,overcast clouds
35,Provideniya,RU,64.3833,-173.3,-13.49,83,71,8.37,broken clouds
36,Fortuna,US,40.5982,-124.1573,55.99,71,75,24.16,broken clouds
37,Port+Keats,AU,-14.25,129.55,79.83,87,100,12.01,light rain
38,Castro,BR,-24.7911,-50.0119,67.6,96,100,3.06,overcast clouds
39,Tiznit,MA,29.5833,-9.5,56.84,81,19,4.32,few clouds
40,Lorengau,PG,-2.0226,147.2712,81.99,80,97,11.48,overcast clouds
41,Lebu,CL,-37.6167,-73.65,62.01,70,8,11.36,clear sky
42,Marshall,US,34.3834,-86.3333,52.0,46,40,9.22,scattered clouds
43,Bethel,US,41.3712,-73.414,27.0,36,1,9.22,clear sky
44,Cidreira,BR,-30.1811,-50.2056,80.02,84,100,8.59,overcast clouds
45,Cherskiy,RU,68.75,161.3,-37.03,83,8,2.3,clear sky
46,Geraldton,AU,-28.7667,114.6,84.2,24,0,18.41,clear sky
47,Hermanus,ZA,-34.4187,19.2345,66.99,82,3,1.99,clear sky
48,Severo-Kurilsk,RU,50.6789,156.125,23.68,95,100,29.68,light snow
49,Pipri,IN,19.8,75.5333,66.58,27,0,8.46,clear sky
50,Dikson,RU,73.5069,80.5464,-36.04,82,0,9.01,clear sky
51,Alofi,NU,-19.0595,-169.9187,78.8,89,90,9.22,light rain
52,Saint-Philippe,RE,-21.3585,55.7679,78.8,65,0,3.44,clear sky
53,Butaritari,KI,3.0707,172.7902,80.94,77,100,16.35,overcast clouds
54,Tiksi,RU,71.6872,128.8694,-27.22,86,100,5.23,overcast clouds
