City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ushuaia,AR,-54.8,-68.3,51.8,62,20,26.46,few clouds
1,Saskylakh,RU,71.9167,114.0833,-38.56,78,35,7.99,scattered clouds
2,Porto+Novo,BJ,6.4965,2.6036,83.95,72,19,11.52,few clouds
3,Bintulu,MY,3.1667,113.0333,78.8,94,20,2.3,few clouds
4,Pevek,RU,69.7008,170.3133,-32.48,85,44,3.8,scattered clouds
5,Shieli,KZ,44.1667,66.75,36.82,74,100,8.14,overcast clouds
6,Mataura,NZ,-46.1927,168.8643,48.0,80,50,8.01,scattered clouds
7,Pacifica,US,37.6138,-122.4869,51.01,81,75,6.17,broken clouds
8,Barda,AZ,40.3744,47.1267,42.75,89,100,5.73,overcast clouds
9,Butaritari,KI,3.0707,172.7902,80.69,78,94,17.05,overcast clouds
10,Kodiak,US,57.79,-152.4072,32.0,55,1,25.32,clear sky
11,Sirari,TZ,-1.2333,34.4333,67.15,76,98,2.64,overcast clouds
12,Cidreira,BR,-30.1811,-50.2056,85.26,67,35,8.57,scattered clouds
13,Sitka,US,57.0531,-135.33,37.4,60,75,6.91,broken clouds
14,Payakumbuh,ID,-0.2202,100.6308,69.46,84,100,0.98,overcast clouds
15,Alice+Springs,AU,-23.7,133.8833,86.0,32,90,14.97,overcast clouds
16,Ilulissat,GL,69.2167,-51.1,3.2,60,40,8.05,scattered clouds
17,Svetlograd,RU,45.3353,42.8547,35.6,87,40,11.18,scattered clouds
18,Rikitea,PF,-23.1203,-134.9692,79.07,74,74,10.8,light rain
19,Xian,CN,34.2583,108.9286,42.01,74,0,4.47,clear sky
20,Nemuro,JP,43.3236,145.575,22.05,92,100,15.75,overcast clouds
21,Taganak,PH,6.0833,118.3,80.6,83,40,13.8,scattered clouds
22,Saint-Philippe,RE,-21.3585,55.7679,80.6,69,0,4.61,light rain
23,Mugur-Aksy,RU,50.35,90.5,2.16,84,16,10.04,few clouds
24,Tuktoyaktuk,CA,69.4541,-133.0374,-36.4,67,20,2.1,few clouds
25,Isangel,VU,-19.55,169.2667,76.17,78,7,9.28,clear sky
26,Victoria,HK,22.2855,114.1577,62.01,77,1,16.87,clear sky
27,Harper,LR,4.375,-7.7169,81.84,78,54,9.35,light rain
28,Bathsheba,BB,13.2167,-59.5167,84.2,61,40,14.97,scattered clouds
29,Albany,US,42.6001,-73.9662,16.0,51,0,1.01,clear sky
30,Havoysund,NO,70.9963,24.6622,26.6,93,75,21.85,light intensity drizzle
31,Hobart,AU,-42.8794,147.3294,53.01,82,1,4.61,clear sky
32,Vredendal,ZA,-31.6683,18.5012,70.09,62,0,19.53,clear sky
33,Avarua,CK,-21.2078,-159.775,75.2,94,98,1.14,overcast clouds
34,Arraial+Do+Cabo,BR,-22.9661,-42.0278,93.2,48,0,19.57,clear sky
35,Upernavik,GL,72.7868,-56.1549,-9.78,86,2,7.78,clear sky
36,Punta+Arenas,CL,-53.15,-70.9167,57.2,51,40,27.63,scattered clouds
37,Buin,CL,-33.7333,-70.75,77.0,47,75,2.3,broken clouds
38,Aripuana,BR,-9.1667,-60.6333,83.61,75,92,3.51,overcast clouds
