City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ushuaia,AR,2021-01-30 00:57:50,-54.8,-68.3,42.8,75,75,20.71
1,Busselton,AU,2021-01-30 00:57:38,-33.65,115.3333,73.0,60,0,4.0
2,Tiksi,RU,2021-01-30 00:53:21,71.6872,128.8694,-32.17,84,100,4.54
3,Hobart,AU,2021-01-30 00:54:28,-42.8794,147.3294,73.99,46,75,4.61
4,At-Bashi,KG,2021-01-30 01:02:00,41.1702,75.8106,1.38,51,0,2.55
5,Acapulco,MX,2021-01-30 00:57:09,16.8634,-99.8901,82.4,74,75,10.36
6,Mataura,NZ,2021-01-30 00:57:42,-46.1927,168.8643,67.89,40,0,2.33
7,Tuktoyaktuk,CA,2021-01-30 00:53:06,69.4541,-133.0374,-36.4,74,20,2.3
8,Port-Gentil,GA,2021-01-30 01:01:36,-0.7193,8.7815,80.28,82,100,7.9
9,Grindavik,IS,2021-01-30 01:02:00,63.8424,-22.4338,35.6,75,75,2.3
10,Sitka,US,2021-01-30 00:58:31,57.0531,-135.33,37.4,52,90,13.8
11,Qaanaaq,GL,2021-01-30 00:53:12,77.484,-69.3632,-14.48,62,0,5.53
12,Umm+Kaddadah,SD,2021-01-30 00:58:08,13.6017,26.6876,61.63,29,0,20.09
13,Norman+Wells,CA,2021-01-30 00:53:37,65.282,-126.8329,-32.8,75,20,4.61
14,Rikitea,PF,2021-01-30 00:57:39,-23.1203,-134.9692,80.56,66,18,6.13
15,Port+Alfred,ZA,2021-01-30 00:57:44,-33.5906,26.891,64.99,86,0,1.99
16,Flin+Flon,CA,2021-01-30 00:58:34,54.7682,-101.865,14.0,92,90,2.3
17,Teya,RU,2021-01-30 01:02:01,60.3778,92.6267,-34.74,79,95,4.23
18,Bichena,ET,2021-01-30 01:02:01,10.45,38.2,51.08,48,93,2.1
19,Ketchikan,US,2021-01-30 01:01:37,55.3422,-131.6461,35.6,75,90,12.66
20,Gamba,GA,2021-01-30 01:02:02,-2.65,10.0,78.13,87,100,4.63
21,Swan+Hill,AU,2021-01-30 01:00:22,-35.3378,143.5544,76.46,46,0,9.1
22,Bluff,NZ,2021-01-30 00:57:47,-46.6,168.3333,54.21,70,0,10.94
23,Saskylakh,RU,2021-01-30 00:57:49,71.9167,114.0833,-39.33,78,0,0.43
24,Dunedin,NZ,2021-01-30 00:58:33,-45.8742,170.5036,55.99,73,8,18.01
25,Chifeng,CN,2021-01-30 01:02:02,42.2683,118.9636,2.57,89,0,2.08
26,Awbari,LY,2021-01-30 01:02:02,26.5921,12.7805,49.08,66,0,2.86
27,Kudligi,IN,2021-01-30 01:02:02,14.9,76.3833,65.08,69,17,7.54
28,Port+Moresby,PG,2021-01-30 01:02:03,-9.4431,147.1797,77.0,83,75,23.02
29,Yellowknife,CA,2021-01-30 00:57:45,62.456,-114.3525,-16.01,76,20,6.91
30,Skibotn,NO,2021-01-30 01:02:03,69.3913,20.2679,12.0,79,0,5.75
31,Barrow,US,2021-01-30 00:55:03,71.2906,-156.7887,-11.2,77,90,10.36
32,Baykit,RU,2021-01-30 00:58:24,61.67,96.37,-40.09,75,97,4.47
33,Punta+Arenas,CL,2021-01-30 00:57:45,-53.15,-70.9167,48.2,66,90,16.11
34,Chokurdakh,RU,2021-01-30 00:53:20,70.6333,147.9167,-26.36,85,100,8.41
35,Biltine,TD,2021-01-30 01:02:04,14.5333,20.9167,68.27,24,0,17.94
36,Hilo,US,2021-01-30 00:57:40,19.7297,-155.09,73.4,78,75,3.44
37,Ponta+Do+Sol,PT,2021-01-30 00:58:16,32.6667,-17.1,57.99,76,36,5.01
38,Puerto+Ayora,EC,2021-01-30 00:57:50,-0.7393,-90.3518,79.0,90,63,5.01
39,Rockhampton,AU,2021-01-30 01:02:04,-23.3833,150.5,84.2,58,75,12.66
40,Xining,CN,2021-01-30 00:54:12,36.6167,101.7667,14.56,72,100,2.93
41,Antalaha,MG,2021-01-30 00:58:30,-14.9003,50.2788,74.95,89,27,4.27
42,Iqaluit,CA,2021-01-30 00:58:06,63.7506,-68.5145,-13.0,70,90,20.71
43,Salihli,TR,2021-01-30 01:02:05,38.4826,28.1477,43.03,66,68,5.01
44,Batemans+Bay,AU,2021-01-30 01:00:22,-35.7167,150.1833,75.99,86,16,1.99
45,Namatanai,PG,2021-01-30 00:58:33,-3.6667,152.4333,85.05,74,32,14.34
46,Goderich,CA,2021-01-30 01:02:06,43.7501,-81.7165,24.8,74,100,16.11
47,Falmouth,GB,2021-01-30 01:00:26,50.1544,-5.0711,51.8,100,75,23.02
48,Jamestown,US,2021-01-30 00:56:35,42.097,-79.2353,21.0,86,90,11.5
49,Bambous+Virieux,MU,2021-01-30 00:52:42,-20.3428,57.7575,80.6,78,40,8.05
50,Cape+Town,ZA,2021-01-30 00:57:51,-33.9258,18.4232,70.0,77,20,9.22
51,Dikson,RU,2021-01-30 00:57:54,73.5069,80.5464,-32.84,85,98,8.37
52,Galbshtadt,RU,2021-01-30 01:02:06,53.2264,78.9845,10.31,96,100,5.77
53,Albany,US,2021-01-30 00:57:47,42.6001,-73.9662,12.99,46,10,5.99
54,Havoysund,NO,2021-01-30 00:58:14,70.9963,24.6622,19.4,73,75,4.61
55,Itarema,BR,2021-01-30 01:02:07,-2.9248,-39.9167,79.38,82,91,11.43
56,San+Cristobal,VE,2021-01-30 00:54:40,7.7669,-72.225,65.26,81,17,1.88
57,Natal,BR,2021-01-30 01:02:07,-5.795,-35.2094,80.6,78,20,12.66
58,Porto+Murtinho,BR,2021-01-30 01:02:07,-21.6989,-57.8825,77.79,84,100,7.9
59,Aromashevo,RU,2021-01-30 01:02:07,56.8602,68.6375,6.84,94,74,6.91
60,Pisco,PE,2021-01-30 00:58:07,-13.7,-76.2167,73.4,73,0,14.97
61,Grand-Santi,GF,2021-01-30 00:57:44,4.25,-54.3833,72.57,97,94,2.93
62,Souillac,MU,2021-01-30 00:53:45,-20.5167,57.5167,80.6,78,40,8.05
63,Mehamn,NO,2021-01-30 00:58:39,71.0357,27.8492,23.13,96,100,16.82
64,Kodiak,US,2021-01-30 00:57:55,57.79,-152.4072,35.6,64,1,18.41
65,Carnarvon,AU,2021-01-30 00:58:21,-24.8667,113.6333,91.4,33,0,14.97
66,Prado,BR,2021-01-30 01:02:08,-17.3411,-39.2208,76.93,82,7,7.45
67,Sao+Sebastiao,BR,2021-01-30 01:01:53,-23.76,-45.4097,78.84,77,100,4.38
68,Sao+Filipe,CV,2021-01-30 01:02:08,14.8961,-24.4956,75.04,56,100,10.09
69,Russell,US,2021-01-30 00:58:20,32.3502,-85.1999,51.8,57,20,1.25
70,Amapa,BR,2021-01-30 01:02:09,1.0,-52.0,72.77,97,100,3.49
71,Georgetown,MY,2021-01-30 00:55:30,5.4112,100.3354,78.01,83,20,4.61
72,Labytnangi,RU,2021-01-30 01:02:09,66.6572,66.4183,-41.1,79,59,1.25
73,Saldanha,ZA,2021-01-30 00:53:33,-33.0117,17.9442,64.31,90,13,11.23
74,Vostok,RU,2021-01-30 01:02:09,46.4856,135.8833,-10.52,88,100,2.84
75,Kapaa,US,2021-01-30 00:57:44,22.0752,-159.319,77.0,65,75,16.11
76,Tasiilaq,GL,2021-01-30 00:57:54,65.6145,-37.6368,15.8,57,90,28.77
77,Cofradia,HN,2021-01-30 01:02:10,15.4,-88.15,73.4,83,75,13.8
78,Khani,GE,2021-01-30 01:02:10,41.9563,42.9566,42.8,100,75,3.44
79,Thompson,CA,2021-01-30 00:58:10,55.7435,-97.8558,10.4,79,90,4.61
80,Stolin,BY,2021-01-30 01:02:10,51.8912,26.846,17.17,98,95,4.94
81,Mar+Del+Plata,AR,2021-01-30 00:57:48,-38.0023,-57.5575,69.8,73,0,3.44
82,Vaini,TO,2021-01-30 00:52:44,-21.2,-175.2,75.2,94,90,14.97
83,Novaya+Mayna,RU,2021-01-30 01:02:11,54.15,49.75,24.8,93,90,8.95
84,Novopokrovka,UA,2021-01-30 01:02:11,49.8425,36.5477,30.2,86,90,11.18
85,Erenhot,CN,2021-01-30 01:02:11,43.6475,111.9767,14.41,90,1,12.48
86,State+College,US,2021-01-30 01:02:11,40.7934,-77.86,23.0,63,90,8.05
87,Virginia+Beach,US,2021-01-30 01:00:58,36.8529,-75.978,32.0,40,20,8.05
88,Omboue,GA,2021-01-30 01:02:11,-1.5746,9.2618,77.76,88,100,5.26
89,Lagoa,PT,2021-01-30 00:58:28,39.05,-27.9833,59.32,81,100,14.09
90,Esperance,AU,2021-01-30 00:53:55,-33.8667,121.9,66.2,63,0,12.66
91,Korla,CN,2021-01-30 01:02:12,41.7597,86.1469,20.19,83,0,3.02
92,Grand+Gaube,MU,2021-01-30 00:57:57,-20.0064,57.6608,78.01,84,1,3.0
93,Voh,NC,2021-01-30 01:02:12,-20.9667,164.7,81.03,72,82,4.41
94,Castro,BR,2021-01-30 00:57:47,-24.7911,-50.0119,64.81,97,100,4.29
95,Bandarbeyla,SO,2021-01-30 01:02:12,9.4942,50.8122,73.15,73,36,9.86
96,Bambanglipuro,ID,2021-01-30 01:02:12,-7.95,110.2833,78.94,81,100,6.15
97,East+London,ZA,2021-01-30 00:54:05,-33.0153,27.9116,69.96,70,8,1.1
98,Bouca,CF,2021-01-30 01:02:13,6.5105,18.2733,71.24,33,100,1.05
